file,src,size_bytes,load_ok,load_error,n_literals_sanitized,n_classes,n_obj_props,n_data_props,n_annotations,WMCOnto,NOMOnto,DITM,NACOnto,CBOnto,TMOnto,LCOMOnto,ANOnto,INROnto,RROnto,AROnto,consistent,n_unsatisfiable,n_inferred_classes,reasoner_seconds,reasoner_error,score_structural,score_modularity,score_reusability,score_operability,score_reliability,oquare_global,experiment,db,model,variant,run,eval_seconds,structural_error
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/FANTOM5/gpt-4o/postprocessed/ontology_run3.ttl,3343,1,,0,4,3,6,0,2.25,2.25,1,1.0,0.5,0.0,4,0.0,0.0,0.75,0.3333333333333333,True,0,4,0.25,,5.0,4.0,2.33,3.5,5,3.97,E2,FANTOM5,gpt-4o,postprocessed,3,0.26,
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/dbSUPER/gpt-4o/postprocessed/ontology_run1.ttl,2558,1,,0,3,2,5,0,2.3333333333333335,2.3333333333333335,1,1.0,0.6666666666666666,0.0,3,0.0,0.0,0.6666666666666666,0.2857142857142857,True,0,3,0.26,,5.0,4.0,2.33,3.5,5,3.97,E2,dbSUPER,gpt-4o,postprocessed,1,0.26,
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/dbSUPER/gpt-4o/postprocessed/ontology_run2.ttl,3780,1,,0,5,3,5,0,1.6,1.6,1,1.0,0.8,0.0,5,0.0,0.0,0.6,0.375,True,0,5,0.25,,5.0,3.5,2.33,3.5,5,3.87,E2,dbSUPER,gpt-4o,postprocessed,2,0.26,
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/dbSUPER/gpt-4o/postprocessed/ontology_run3.ttl,4000,1,,0,4,3,5,0,2.0,2.0,1,1.0,1.0,0.0,4,0.0,0.0,0.75,0.375,True,0,4,0.26,,5.0,4.0,2.33,3.5,5,3.97,E2,dbSUPER,gpt-4o,postprocessed,3,0.27,
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/HACER/gpt-4o/postprocessed/ontology_run1.ttl,3858,1,,0,4,3,3,0,1.5,1.5,1,1.0,1.0,0.0,4,0.0,0.0,0.75,0.5,True,0,4,0.25,,5.0,4.0,2.33,4.0,5,4.07,E2,HACER,gpt-4o,postprocessed,1,0.25,
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/HACER/gpt-4o/postprocessed/ontology_run2.ttl,3372,1,,0,5,3,4,0,1.4,1.4,1,1.0,0.8,0.0,5,0.0,0.0,0.6,0.42857142857142855,True,0,5,0.25,,5.0,3.5,2.33,4.0,5,3.97,E2,HACER,gpt-4o,postprocessed,2,0.26,
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/HACER/gpt-4o/postprocessed/ontology_run3.ttl,2988,1,,0,5,4,4,0,1.6,1.6,1,1.0,1.0,0.0,5,0.0,0.0,0.8,0.5,True,0,5,0.25,,5.0,3.5,2.33,4.0,5,3.97,E2,HACER,gpt-4o,postprocessed,3,0.26,
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/DiseaseEnhancer/gpt-4o/postprocessed/ontology_run1.ttl,3068,1,,0,4,3,3,0,1.5,1.5,1,1.0,1.0,0.0,4,0.0,0.0,0.75,0.5,True,0,4,0.27,,5.0,4.0,2.33,4.0,5,4.07,E2,DiseaseEnhancer,gpt-4o,postprocessed,1,0.28,
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/DiseaseEnhancer/gpt-4o/postprocessed/ontology_run2.ttl,2711,1,,0,5,4,8,0,2.4,2.4,1,1.0,1.0,0.0,5,0.0,0.0,0.8,0.3333333333333333,True,0,5,0.26,,5.0,3.5,2.33,3.5,5,3.87,E2,DiseaseEnhancer,gpt-4o,postprocessed,2,0.26,
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/DiseaseEnhancer/gpt-4o/postprocessed/ontology_run3.ttl,7077,1,,0,4,3,3,0,1.5,1.5,1,1.0,1.0,0.0,4,0.0,0.0,0.75,0.5,True,0,4,0.27,,5.0,4.0,2.33,4.0,5,4.07,E2,DiseaseEnhancer,gpt-4o,postprocessed,3,0.28,
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/FANTOM5/gpt-4o/postprocessed/ontology_run1.ttl,3358,1,,0,4,0,0,0,0.0,0.0,1,1.0,0.0,0.0,4,0.0,0.0,0.0,0.0,True,0,4,0.21,,5.0,4.0,2.33,1.0,5,3.47,E3,FANTOM5,gpt-4o,postprocessed,1,0.21,
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/FANTOM5/gpt-4o/postprocessed/ontology_run2.ttl,3457,1,,0,0,0,0,0,,,,,,,,,,,,True,0,0,0.2,,0,0,0,0,5,1.0,E3,FANTOM5,gpt-4o,postprocessed,2,0.2,
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/FANTOM5/gpt-4o/postprocessed/ontology_run3.ttl,2216,1,,0,0,0,0,0,,,,,,,,,,,,True,0,0,0.19,,0,0,0,0,5,1.0,E3,FANTOM5,gpt-4o,postprocessed,3,0.2,
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/dbSUPER/gpt-4o/postprocessed/ontology_run1.ttl,2232,1,,0,1,0,0,0,0.0,0.0,1,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,True,0,1,0.21,,5.0,5.0,2.33,1.0,5,3.67,E3,dbSUPER,gpt-4o,postprocessed,1,0.21,
